question,answer
Какие требования к сокращенному объему проектной документации предъявляет ГОСТ?," Согласно указаниям из Пояснительной записки, в технической части сокращенного объема проектной документации должны быть представлены следующие требования:

1. Программа строительства объекта торгов с характеристикой всех зданий и сооружений, инженерных сетей и сооружений на них.
2. Технические требования к каждому объекту строительства с указанием границ производства работ Подрядчиком.
3. Основные технико-экономические показатели строительства объекта торгов.
4. Краткая характеристика площадки строительства, природно-климатические и инженерно-геологические особенности.
5. Сведения о наличии подъездных дорог и транспортных путей.
6. Условия по обеспечению пожаробезопасности на период строительства и эксплуатации.
7. Требования к прокладке инженерных сетей и условия их подключения.
8. Мероприятия по охране окружающей среды, благоустройству и озеленению.
9. Характеристику основных производств с показателями по виду и объему выпускаемой продукции.
10. Требования по утилизации отходов производства и техническому оборудованию.

Этот список является общим, но могут быть дополнительные требования в зависимости от конкретного объекта строительства и его целей."
"Какие исключения предусмотрены ГОСТ МДС 81-8.2000 для финансирования пусконаладочных работ в детских учреждениях, школах и домах-интернатах?"," В соответствии с ГОСТ МДС 81-8.2000, в порядке исключения возможно включение затрат на пусконаладочные работы в сводный сметный расчет при строительстве детских учреждений, школ и домов-интернатов. Такое исключение обосновано в письме Управления ценообразования Минстроя России от 01.11.96 г. № 12-355."
Какой разряд зрительной работы установлен для лестничных клеток согласно ГОСТ МДС 31-8.2002?," Лестничные клетки относятся к Помещениям жилых зданий, разряд зрительной работы - З (Не регламентируется)."
Что такое субсидии на оплату жилого помещения и коммунальных услуг?," Субсидии на оплату жилого помещения и коммунальных услуг - это денежные выплаты, предоставляемые гражданам на основании их заявлений согласно определенным правилам для поддержки платежа за жилье и коммунальные услуги. Они могут быть получены при условии, что гражданин имеет доказательства, что задолженность по оплате жилого помещения и коммунальных услуг не превышает трех последних лет."
Какая высота борта ванны зависит от волн согласно ГОСТ МДС 35-7.2000?," Согласно ГОСТ МДС 35-7.2000, борт ванны в терапевтических и двигательно-оздоровительных занятиях должен быть высотой 0,65 м."
Может ли законодательство государств-членов устанавливать иные основания для исключения таможенного перевозчика из реестра?," Да, законодательство государств-члены может устанавливать иные основания для исключения таможенного перевозчика из реестра. (по статьям 408, 409 и комментариям на сайте https://tkeaes.ru/)"
"Какие документы необходимы для подтверждения права на имущественный налоговый вычет при приобретении прав на квартиру, комнату или долю в строящемся доме?"," Для подтверждения права на имущественный налоговый вычет при приобретении прав на квартиру, комнату или долю в строящемся доме требуются:
- договор о приобретении квартиры, комнаты или доли (долей) в них;
- договор участия в долевом строительстве и передаточный акт или иной документ о передаче объекта долевого строительства застройщиком и принятии его участником долевого строительства, подписанный сторонами."
Как определяются правомочия доверительного управляющего по распоряжению ценными бумагами?, Правомочия доверительного управляющего по распоряжению ценными бумагами определяются в договоре доверительного управления.
Какие данные о совместном применении указываются в указаниях по применению?," В указаниях по применению должны указываться следующие данные о совместном завещании супругов:
- возможность совместного завещания супругов;
- правила наследования в случае совместного завещания, в том числе об обязательной доле в наследстве и о запрете наследования недостойными наследниками;
- условия действия совместного завещания супругов;
- способы изменения или отмены совместного завещания супругов."
Какая основная заработная плата указана в таблице 1 согласно ГОСТ?," В таблице 1 указано, что основная заработная плата составляет 4,6 рублей."
Какие машины могут учитываться в расчете затрат на эксплуатацию?, В расчете затрат на эксплуатацию учитываются машины отечественного производства. При отсутствии отечественных аналогов допускается учёт стоимости эксплуатации машин и механизмов зарубежного производства по согласованию с Росавтодором.
Какие данные необходимы для расчета коэффициента пересчета сметной стоимости работ по монтажу оборудования согласно Форме № 4?," Для расчета коэффициента пересчета сметной стоимости работ по монтажу оборудования согласно Форме № 4 необходимы данные из таблицы ресурсных сметных норм: затраты труда рабочих-монтажников (чел.-ч, средний разряд работы, среднее количество рабочих), затраты труда машинистов (чел.-ч), машины и механизмы (маш.-ч), материальные ресурсы (физические единицы) и масса оборудования."
В какие сроки должны быть выданы или направлены решения о предоставлении жилых помещений по договорам социального найма?," Решения о предоставлении жилых помещений по договорам социального найма должны быть выданы или направлены гражданам, в отношении которых данные решения приняты, не позднее чем через три рабочих дня со дня принятия данных решений."
Какие виды профессиональной тайны упоминаются в тексте?, В тексте упоминается адвокатская тайна и аудиторская тайна как виды профессиональной тайны.
Какие меры предписаны ГОСТ МДС 17-13.2000 при протекании канализационной сети?," Для обеспечения стока талых и дождевых вод в ГОСТ МДС 17-13.2000 предписано: выровнять территорию двора, ликвидировать выбоины и обратные уклоны; обеспечить беспрепятственный отвод атмосферных и талых вод от зданий, спусков (входов) в подвал, оконных проемов в водоотводящие устройства; все просадки грунта своевременно засыпать грунтом с послойным трамбованием и восстановлением покрытия; водоотводящие канавы, дренажные устройства, канавки и лотки расчистить, придав им уклоны не менее 3 % к водосточным лоткам и водоприемным колодцам или люкам."
Какие типы оборудования перечислены в Приложении 19 к ГОСТ (к СНиП 3.02.01-83) для силикатизации и смолизации грунтов?," В Приложении 19 к ГОСТ (к СНиП 3.02.01-83) перечислены следующие типы оборудования для силикатизации и смолизации грунтов:
1. Ударные инструменты и компрессоры для забивки инъекторов (табл. 1 - 3,5).
2. Буровое оборудование для бурения инъекционных скважин (табл. 6).
Нет информации о других типах оборудования в этом приложении."
Какие требования предъявляются к разработке альтернативного варианта оферты согласно ГОСТ МДС-80-8.2000?," Альтернативный вариант оферты нельзя представить в соответствии с требованиями ГОСТ МДС-80-8.2000, если разработана рабочая документация для альтернативного варианта на полный объем или отдельные виды работ (услуг) невозможна в сроки, определенные для подготовки оферты на конкурс. При этом при наличии в технической части тендерной документации перечня производственного оборудования, машин и механизмов, обеспечивающих достижение намеченных в тендере результатов инвестиций, альтернативный вариант оферты недопустим."
В каких случаях срок пребывания руководителя научной организации в должности может быть продлен?, В случае наличия иных федеральных законов или решений Президента Российской Федерации.
Кто такие экспертные организации?," Экспертные организации - это государственные судебно-экспертные учреждения или другие учреждения, которые производят судебную экспертизу в порядке, установленном настоящим Кодексом."
Как федеральный орган исполнительной власти уведомляет организацию о результате взаимосогласительной процедуры?, Федеральный орган исполнительной власти уведомляет организацию о результате взаимосогласительной процедуры путем изменения мотивированного мнения либо сохранением его без изменений.
"Как учреждение или орган, на которые возложено исполнение наказания, извещает суд о месте отбывания наказания осужденным?"," Учреждение или орган, на которые возложено исполнение наказания, сообщает месте отбывания наказания осужденному суду при подаче ходатайства об условно-досрочном освобождении или замене неотбытой части наказания более мягким видом наказания."
В каких случаях налогоплательщик - участник соглашения о защите и поощрении капиталовложений может уменьшать подлежащие уплате суммы налогов?," Налогоплательщик - участник соглашения о защите и поощрении капиталовложений может уменьшать подлежащие уплате суммы налогов в случаях, предусмотренных пунктом 1 статьи 25.18 настоящего Кодекса."
Какие санкции могут быть применены к нарушителям положений Примерного профессионального кодекса инженеров-строителей согласно ГОСТу и СНиП?," По следующей информации из текста, санкции могут быть применены к нарушителям положений Примерного профессионального кодекса инженеров-строителей по следующим видам:

1. Предупреждение.
2. Общественное порицание.
3. Ходатайство перед должностными лицами и организациями о временном или постоянном ограничении профессиональной деятельности специалиста.
4. Выражение профессионального недоверия специалисту и его исключение из членов профессиональной общественной организации в совокупности с ходатайством об увольнении специалиста из соответствующего предприятия (организации).
5. Применение административной и уголовной ответственности, если нарушения положений кодекса соответствуют нарушениям действующего законодательства."
Какое сечение проводов должно быть рассчитано при проектировании воздушной линии электропередачи на напряжение 35 кВ согласно ГОСТ МДС-80-8.2000?," Размер сечения проводов должны быть рассчитаны согласно ГОСТ МДС-80-8.2000, в зависимости от потребляемой мощности и дополнительной мощности предприятия заказчика и сторонних потребителей."
Кто обязан представлять уведомления об участии в международной группе компаний?," Налогоплательщики (за исключением иностранных организаций, получающих только доходы, указанные в статье 309 настоящего Кодекса), являющиеся участниками международной группы компаний."
"Какой закон РФ вносит изменения и дополнения в Закон РСФСР ""О медицинском страховании граждан в РСФСР""?"," Закон РФ № 4696-1 от 30.03.1993 г., вносит изменения и дополнения в Закон РСФСР «О медицинском страховании граждан в РСФСР»."
"Какое углеводородное сырье, добытое на морском месторождении углеводородного сырья, освобождается от налогообложения?"," Налогообложение освобождено для углеводородного сырья, добытого на новом морском месторождении углеводородного сырья в течение первых 120 месяцев после начала промышленной добычи. Однако это освобождение применяется только для месторождений, расположенных в определённых районах (например, Азовском море, Балтийском море, Черном море и других). Информации об освобождении налогообложению нет для углеводородного сырья из других морских месторождений."
"Какой год издания у рекомендаций по проектированию, устройству и эксплуатации светопрозрачных конструкций промышленных зданий, выпущенных ЦНИИпромзданий Госстроя СССР?", 2002
Может ли принципал ссылаться на отсутствие у агента надлежащих полномочий в отношениях с третьими лицами?," Нет, принципал не может ссылаться на отсутствие у агента надлежащих полномочий в отношениях с третьими лицами, если он не докажет, что третье лицо знало или должно было знать об ограничении полномочий агента.
(Посредством ссылки на статью 1006 Кодекса РФ)"
Какой телефон можно использовать для получения бесплатной юридической консультации в регионах России?, 8 (800) 301-92-12 (Регионы РФ).
"Какой штраф предусмотрен за представление странового отчета, содержащего недостоверные сведения?"," Штраф в размере 100 000 рублей для юридического лица или физического лица, представляющего страновой отчет с недостоверными сведениями (статья 129.10 Кодекса об административных правонарушениях)."
Какие требования к отчетности об исполнении государственного (муниципального) задания должны быть указаны?," Требования к отчетности об исполнении государственного (муниципального) задания должны включать: 1) правила формирования, изменения, утверждения гос. (муницип.) задания и отчета о его выполнении; 2) правила определения объема финансового обеспечения выполнения гос. (муницип.) задания, включая расчет и утверждение нормативных затрат на оказание государственных (муниципальных) услуг и корректирующих коэффициентов к ним, а также нормативных затрат на выполнение работ; сроки и объемы перечисления субсидии на финансовое обеспечение выполнения гос. (муницип.) задания; возврат субсидии в объеме, который соответствует показателям гос. (муницип.) задания, которые не были достигнуты, в случае невыполнения гос. (муницип.) задания; 3) правила осуществления контроля за выполнением гос. (муницип.) задания государственным (муниципальным) учреждением органами государственной власти (органами местного самоуправления), осуществляющими функции и полномочия учредителя."
Как уполномоченный орган выдает заключение об исчезновении характерных условий?," Уполномоченным органом в отношении товара, обладающего особыми свойствами, зарегистрированного наименованием места происхождения товара, выдается заключение об исчезновении характерных для данного географического объекта условий в установленном порядке при предоставлении заявителем документов, предусмотренных таким порядком."
Кто проводит экспертизу?," Экспертиза проводится государственными судебно-экспертными учреждениями или экспертами, атастованными на право подготовки заключений экспертизы проектной документации и (или) экспертизы результатов инженерных изысканий."
"Проводится ли предварительное судебное заседание в делах, рассматриваемых в порядке упрощенного производства?"," Нет, предварительное судебное заседание в делах, рассматриваемых в порядке упрощенного производства, не проводится."
"Какие организации могут принимать от граждан в залог движимые вещи, предназначенные для личного потребления?"," Специализированными организациями-ломбардами могут принимать от граждан в залог движимые вещи, предназначенные для личного потребления."
В каком случае арбитражный суд может поручить другому арбитражному суду произвести определенные процессуальные действия?, Арбитражный суд может поручить другому арбитражному суду произвести определенные процессуальные действия в соответствии со статьёй 73 настоящего Кодекса.
Какие виды инспекционных проверок выполняются Государственной жилищной инспекцией согласно МДС 17-13.2000?," Государственная жилищная инспекция выполняет следующие виды инспекционных проверок:
1. Обследование технического состояния жилищного фонда, его инженерного оборудования, придомовой территории;
2. Контроль за использованием и сохранностью жилищного фонда, придомовых территорий, объектов коммунального назначения;
3. Проверка работ по содержанию и ремонту в соответствии с действующими нормативно-техническими и проектными документами;
4. Контроль устанавливаемых нормативов на потребление жилищно-коммунальных услуг;
5. Проверка санитарного состояния помещений жилищного фонда;
6. Следить за выполнением в срок выданных предписаний;
7. Контроль санитарного состояния помещений жилищного фонда в части, согласованном с соответствующими службами санитарно-эпидемиологического контроля;
8. Мероприятия по подготовке жилищного фонда к сезонной эксплуатации;
9. Контроль за соблюдением нормативного уровня, режима и рационального обеспечения населения коммунальными услугами;
10. Проверка соблюдения порядка и правил признания жилых домов и помещений непригодными для постоянного проживания и перевода их в нежилые."
"Кто осуществляет контроль за межбюджетными субсидиями, субвенциями, трансфертами и кредитами?"," Государственный финансовый контроль за межбюджетными субсидиями, субвенциями, трансферами и кредитами осуществляется Счетной палатой Российской Федерации и Федеральным казначейством. Контроль проводится в отношении различных должностных лиц и организаций, включая главных администраторов бюджетов субъектов Российской Федерации, финансовые органы и другие должностные лица."
Что такое «договорное потребление теплоносителя» в документе МДС 41-3.2000?," ""Договорное потребление теплоносителя"" - установленная договором величина годового, квартального, месячного потребления абонентом теплоносителя (без возврата в тепловую сеть или на источник тепла)."
На какие расходы не распространяется данное положение?," Положение не распространяется на расходы, соответствующие научным исследованиям и (или) опытно-конструкторским разработкам в соответствии с статьей 267.2 Кодекса Российской Федерации о налогах и сборах (нет информации об ответах, которые могут быть относительно конкретных расходов или ситуаций)."
Какие документы должны быть представлены для допуска тепловых сетей и систем теплопотребления в эксплуатацию согласно ГОСТ?," Необходимо представить надлежаще оформленные разрешительная, проектная и исполнительная документация, включая акты на скрытые работы, составленные при их производстве с участием теплоснабжающей организации."
Как специалист должен действовать в качестве представителя заказчика согласно СНиП?," Специалист, действуя в качестве представителя заказчика, должен выносить профессиональные добросовестные и беспристрастные решения, не давая предпочтения какой-либо стороне."
Какова сметная стоимость труб асбестоцементных по ГОСТ МДС 81-10.2000?," Не имеется информации о сметной стоимости труб асбестоцементных в соответствии с ГОСТ МДС 81-10.2000, поскольку ГОСТ МДС 81-10.2000 является методикой для определения стоимости строительства и не содержит сметеную цену на асбестоцементные трубы."
"Что грозит индивидуальным предпринимателям за нарушение обязательных требований при обращении драгоценных металлов, драгоценных камней и продукции из них?"," Индивидуальным предпринимателям грозит наложение административного штрафа в размере от 30 тысяч до 60 тысяч рублей за нарушение обязательных требований при обращении драгоценных металлов, драгоценных камней и продукции из них."
"Какие ставки таможенных пошлин действовали согласно Указу Президента Российской Федерации ""О Временном импортном таможенном тарифе Российской Федерации""?"," С 01.07.92 действовали ставки Временного импортного тарифа Российской Федерации, которые были утверждены Указом Президента Российской Федерации № 630 от 14.06.92."
Какие требования к строительной климатологии и геофизике установлены СНиП 2.01.01-82?," СНиП 2.01.01-82 устанавливает требования к строительной климатологии и геофизике, включая:

1. Применение проектных данных по климату при разработке проектов зданий и сооружений.
2. Учитывание температур наружного воздуха для распределения договорного количества тепловой энергии по кварталам и месяцам, в соответствии с СНиП 2.01.01-82 ""Строительная климатология и геофизика"".
3. Обеспечение наличия проектных данных по теплопотреблениям и теплоносителям для строительства зданий и сооружений."
Какие границы эксплуатационной ответственности между теплоснабжающей организацией и заказчиком должны быть указаны в технических условиях согласно СНиП?," В технических условиях должны быть указаны границы эксплуатационной ответственности между теплоснабжающей организацией и заказчиком, которые определяются на основании нормативных документов, регулирующих продолжительность проектирования и строительства объектов."
Какую роль играет управляющий проектом в выборе и согласовании места размещения объекта по ГОСТ МДС 11-11.2000?," Управляющий проектом участвует в выборе и согласовании места размещения объекта при помощи определения состава участников разработки проекта, подготовке задания на проектирование или документа, его заменяющего, и, при необходимости, в организации инженерных обследований."
Какие требования предъявляются к эксплуатации теплопотребляющих установок и тепловых сетей абонентом согласно ГОСТ?," Согласно данному контексту, эксплуатация теплопотребляющих установок и тепловых сетей должна соответствовать правилам эксплуатации потребителей. Они должны осуществляться с учётом требований технической документации и обеспечить надлежащую защиту, организацию учета тепловой энергии и теплоносителей, а также диспетчерскую связь с теплоснабжающей организацией. Заказчик должен сообщать своему поставщику информацию о качестве теплоносителя и контролировать его. Также требуется уведомление об изменениях реквизитов и организационно-правовой форме, а также выполнение выданных предписаний в установленные сроки. Не существует специального ГОСТ по этой теме, однако в приложении к данному документу перечисляются нормативно-технические документы, относящиеся к эксплуатации источников тепла, тепловых сетей и теплопотребления."
Какие финансовые показатели должны быть указаны в форме 'Опыт работы претендента по самому крупному построенному объекту сопоставимого вида и объем работы в России или за рубежом' согласно ГОСТ МДС 80-5.2000?," В форме 'Опыт работы претендента по самому крупному построенному объекту сопоставимого вида и объем работы в России или за рубежом' следует указать стоимость объекта, объем выполненных работ (в том числе собственными силами), а также сроки начала и окончания строительства. Кроме того, необходимо указать заказчика с полным адресом, телефоном, телексом, телефаксом и ответственное лицо."
"Какие действия необходимо предпринять при обнаружении неисправности расположенных на крыше карнизов, водоотводящих устройств, ограждений, гильз, анкеров, устройств молниезащиты согласно ГОСТ МДС 17-13.2000?"," При обнаружении неисправностей на крыше относящихся к карнизам, водоотводящим устройствам, ограждениям, гильзам, анкерам и молниезащите согласно ГОСТ МДС 17-13.2000 необходимо:

1. Устранить причину увлажнения.
2. Выполнить ремонт дефектных элементов, замену утерянных или поврежденных частей.
3. Закрепить любые отдельные элементы в соответствии с проектом.
4. Применить антикоррозийную защиту к металлическим элементам.
5. Проверить герметичность водостоков и осуществить ремонт, если требуется.
6. Если имеются проблемы с молниезащитой, отремонтировать или заменить устройство соответствующее стандарту ГОСТ МДС 17-13.2000."
Как уведомляется подозреваемый или обвиняемый о принятых мерах?," Применение меры пресечения к подозреваемому или обвиняемому уведомляется потерпевшему, его представителю, гражданскому истцу, гражданскому ответчику или их представителям одновременно с уведомлением о применении этой меры. Подозреваемому, обвиняемому также уведомляются лица, не являющиеся подозреваемыми, обвиняемыми или лицами, несущими по закону материальную ответственность за их действия, на имущество которых наложен арест. В случае приостановления предварительного следствия уведомляются также подозреваемый, обвиняемый и его защитник (по пунктум 1-4 части первой статьи 208 кодекса). Данная информация содержится в разделах Статья 209 и Статья 210 Кодекса Российской Федерации об уголовном судопроизводстве."
Какие источники информации используются для определения текущих цен на материальные ресурсы в МДС 81-14.2000?," Используются цены и тарифы, действующие в данном регионе, а также ежемесячные информационные выпуски региональных центров по ценообразованию в строительстве."
Какие работы по утеплению зданий должны быть выполнены согласно ГОСТ МДС 13-18.2000?," Согласно ГОСТу МДС 13-18.2000, для подготовки жилищного фонда к зиме рекомендуется утепление стен и пола приямков, а также отвода воды от зданий и нанесение антикоррозионной покраски металлическим конструкциям. Однако данный ГОСТ не специфицирует тип утепления для всех видов зданий, следовательно, нет информации о каких именно работах по утеплению зданий должны быть выполнены согласно ГОСТ МДС 13-18.2000."
"Когда не допускается раздел, перераспределение или выдел земельных участков, если сохраняемые обременения не позволяют использовать земельные участки в соответствии с разрешенным использованием?"," Согласно статье 11.5 на сайте <https://zkodeksrf.ru/>, раздел, перераспределение или выдел земельных участков не допускается, если сохраняемые обременения позволяют использовать указанные земельные участки в соответствии с разрешенным использованием."
Какова периодичность капитального ремонта металлической кровли согласно ГОСТ МДС 14-13.2000?, По данным ГОСТа МДС 14-13.2000 периодичность капитального ремонта металлической кровли составляет 10-15 лет.
Какие телефоны доступны для бесплатной юридической консультации в регионах России?," Бесплатная юридическая консультация доступна по следующим телефонам:
• 8 (499) 938-53-71 (Москва и МО);
• 8 (812) 467-95-28 (Санкт-Петербург и ЛО);
• 8 (800) 301-92-12 (Регионы РФ)."
